RX Date/Time,Time(field 1),x(field 2),y(field 3),z(field 4),x(field 5),y(field 6),z(field 7),Bx(field 8),By(field 9),Bz(field 10)
2023/11/04/ 16:41:31::705,35290,-48,142,-1176,346,872,-1140,-220,-388,-1436,
2023/11/04/ 16:41:31::713,35301,-16,137,-1176,406,832,-1150,-235,-411,-1407,
2023/11/04/ 16:41:31::724,35312,-33,185,-1202,393,855,-1180,-225,-428,-1405,
2023/11/04/ 16:41:31::733,35323,-3,155,-1171,391,842,-1113,-235,-457,-1417,
2023/11/04/ 16:41:31::743,35334,-36,175,-1193,448,815,-1135,-222,-403,-1407,
2023/11/04/ 16:41:31::761,35345,-41,202,-1200,437,805,-1187,-225,-411,-1407,
2023/11/04/ 16:41:31::763,35356,11,227,-1197,406,768,-1182,-265,-398,-1370,
2023/11/04/ 16:41:31::777,35367,0,185,-1212,422,783,-1237,-270,-378,-1436,
2023/11/04/ 16:41:31::793,35378,-1,197,-1215,417,748,-1230,-262,-363,-1452,
2023/11/04/ 16:41:31::803,35389,11,215,-1241,440,756,-1280,-287,-315,-1450,
2023/11/04/ 16:41:31::816,35400,31,225,-1251,387,748,-1203,-280,-326,-1450,
2023/11/04/ 16:41:31::823,35411,38,227,-1265,445,723,-1258,-305,-358,-1473,
2023/11/04/ 16:41:31::833,35422,26,255,-1261,417,723,-1243,-290,-356,-1438,
2023/11/04/ 16:41:31::843,35433,83,215,-1227,403,703,-1277,-346,-366,-1438,
2023/11/04/ 16:41:31::853,35444,28,210,-1188,406,721,-1235,-320,-336,-1452,
2023/11/04/ 16:41:31::865,35455,61,227,-1243,427,718,-1240,-343,-358,-1417,
2023/11/04/ 16:41:31::885,35466,36,222,-1238,422,688,-1230,-333,-353,-1436,
2023/11/04/ 16:41:31::887,35477,51,217,-1233,406,721,-1261,-333,-358,-1462,
2023/11/04/ 16:41:31::903,35488,63,185,-1220,367,738,-1235,-287,-333,-1452,
2023/11/04/ 16:41:31::913,35499,31,207,-1282,411,728,-1222,-328,-343,-1452,
2023/11/04/ 16:41:31::924,35510,48,225,-1238,370,763,-1211,-328,-343,-1452,
2023/11/04/ 16:41:31::933,35521,23,170,-1231,387,766,-1163,-275,-331,-1455,
2023/11/04/ 16:41:31::943,35532,21,155,-1222,398,768,-1216,-242,-341,-1438,
2023/11/04/ 16:41:31::953,35543,-18,165,-1207,403,807,-1230,-250,-361,-1415,
2023/11/04/ 16:41:31::963,35554,-31,147,-1222,391,832,-1153,-206,-401,-1415,
2023/11/04/ 16:41:31::975,35565,-51,122,-1202,367,865,-1158,-203,-386,-1428,
2023/11/04/ 16:41:31::991,35576,-68,125,-1197,365,882,-1137,-208,-386,-1410,
2023/11/04/ 16:41:31::993,35587,-53,102,-1200,370,857,-1126,-161,-403,-1402,
2023/11/04/ 16:41:32::013,35598,-43,102,-1181,385,925,-1097,-123,-406,-1375,
2023/11/04/ 16:41:32::023,35609,-123,85,-1168,406,917,-1073,-72,-416,-1388,
2023/11/04/ 16:41:32::035,35620,-133,47,-1145,382,940,-1063,-67,-432,-1351,
2023/11/04/ 16:41:32::043,35631,-151,7,-1126,351,983,-1040,2,-450,-1327,
2023/11/04/ 16:41:32::054,35642,-151,-20,-1128,307,1038,-1016,10,-477,-1290,
2023/11/04/ 16:41:32::063,35653,-175,-45,-1108,333,1023,-1005,27,-435,-1296,
2023/11/04/ 16:41:32::074,35664,-153,-52,-1126,265,1111,-981,75,-401,-1275,
2023/11/04/ 16:41:32::090,35675,-158,-112,-1118,226,1103,-962,77,-396,-1292,
2023/11/04/ 16:41:32::093,35686,-177,-162,-1106,210,1115,-943,138,-388,-1226,
2023/11/04/ 16:41:32::105,35697,-162,-197,-1140,217,1142,-917,168,-393,-1228,
2023/11/04/ 16:41:32::127,35708,-162,-197,-1140,176,1150,-888,176,-338,-1237,
2023/11/04/ 16:41:32::133,35719,-146,-292,-1090,166,1192,-872,240,-336,-1192,
2023/11/04/ 16:41:32::145,35730,-170,-335,-1108,111,1160,-867,232,-300,-1213,
2023/11/04/ 16:41:32::153,35741,-172,-362,-1058,113,1187,-817,232,-300,-1213,
2023/11/04/ 16:41:32::164,35752,-148,-380,-1087,92,1177,-822,285,-201,-1150,
2023/11/04/ 16:41:32::173,35763,-103,-422,-1065,92,1177,-822,300,-201,-1150,
2023/11/04/ 16:41:32::187,35774,-126,-447,-1101,-30,1172,-848,341,-171,-1110,
2023/11/04/ 16:41:32::195,35785,-76,-452,-1092,-52,1140,-836,307,-153,-1120,
2023/11/04/ 16:41:32::211,35796,-88,-482,-1090,-55,1115,-848,348,-90,-1096,
2023/11/04/ 16:41:32::213,35807,-28,-480,-1087,-97,1088,-862,323,-32,-1112,
2023/11/04/ 16:41:32::233,35818,3,-525,-1135,-138,1076,-841,326,-15,-1120,
2023/11/04/ 16:41:32::243,35829,23,-537,-1142,-157,1096,-883,328,-17,-1155,
2023/11/04/ 16:41:32::253,35840,36,-515,-1113,-157,1076,-912,328,17,-1162,
2023/11/04/ 16:41:32::263,35851,91,-517,-1140,-168,1071,-917,310,70,-1171,
2023/11/04/ 16:41:32::273,35862,133,-540,-1147,-193,1026,-957,310,70,-1171,
2023/11/04/ 16:41:32::287,35873,133,-527,-1163,-193,1026,-957,235,133,-1168,
2023/11/04/ 16:41:32::295,35884,200,-507,-1183,-238,961,-943,232,163,-1160,
2023/11/04/ 16:41:32::303,35895,190,-510,-1160,-236,905,-1005,235,178,-1207,
2023/11/04/ 16:41:32::316,35906,250,-512,-1197,-257,907,-1063,225,206,-1202,
2023/11/04/ 16:41:32::332,35917,250,-512,-1197,-255,872,-1026,181,198,-1202,
2023/11/04/ 16:41:32::343,35928,250,-512,-1197,-272,857,-1057,222,201,-1186,
2023/11/04/ 16:41:32::353,35939,328,-495,-1243,-260,802,-1042,176,201,-1218,
2023/11/04/ 16:41:32::365,35950,346,-435,-1231,-265,776,-1081,118,208,-1232,
2023/11/04/ 16:41:32::373,35961,338,-422,-1248,-265,738,-1113,108,225,-1256,
2023/11/04/ 16:41:32::387,35972,373,-392,-1306,-241,743,-1113,108,265,-1277,
2023/11/04/ 16:41:32::397,35983,373,-380,-1280,-257,721,-1105,70,230,-1271,
2023/11/04/ 16:41:32::403,35994,401,-360,-1282,-222,703,-1171,40,257,-1320,
2023/11/04/ 16:41:32::418,36005,393,-377,-1308,-215,698,-1185,15,262,-1317,
2023/11/04/ 16:41:32::429,36016,396,-300,-1295,-183,681,-1171,-25,232,-1348,
2023/11/04/ 16:41:32::433,36027,396,-300,-1295,-168,651,-1267,-27,213,-1306,
2023/11/04/ 16:41:32::453,36038,386,-265,-1282,-181,651,-1248,-42,201,-1367,
2023/11/04/ 16:41:32::465,36049,348,-242,-1298,-162,648,-1248,-57,191,-1356,
2023/11/04/ 16:41:32::473,36060,406,-247,-1290,-116,610,-1248,-67,188,-1365,
2023/11/04/ 16:41:32::485,36071,378,-265,-1292,-121,635,-1248,-105,181,-1396,
2023/11/04/ 16:41:32::493,36082,376,-170,-1335,-78,617,-1280,-105,156,-1433,
2023/11/04/ 16:41:32::506,36093,388,-155,-1308,-63,632,-1285,-133,163,-1393,
2023/11/04/ 16:41:32::513,36104,358,-165,-1323,-58,632,-1293,-92,133,-1388,
2023/11/04/ 16:41:32::523,36115,346,-145,-1303,-63,658,-1296,-126,111,-1428,
2023/11/04/ 16:41:32::541,36126,323,-155,-1323,-26,620,-1296,-131,131,-1410,
2023/11/04/ 16:41:32::544,36137,373,-125,-1298,-6,651,-1306,-131,97,-1398,
2023/11/04/ 16:41:32::563,36148,348,-120,-1280,-6,658,-1320,-121,111,-1407,
2023/11/04/ 16:41:32::573,36159,331,-107,-1292,35,658,-1280,-121,75,-1431,
2023/11/04/ 16:41:32::583,36170,333,-127,-1316,6,688,-1296,-105,30,-1420,
2023/11/04/ 16:41:32::595,36181,260,-115,-1316,23,696,-1265,-126,10,-1396,
2023/11/04/ 16:41:32::603,36192,255,-110,-1306,50,723,-1315,-77,-25,-1417,
2023/11/04/ 16:41:32::613,36203,237,-102,-1326,66,758,-1246,-67,-55,-1393,
2023/11/04/ 16:41:32::632,36214,195,-125,-1316,42,728,-1248,-85,-42,-1410,
2023/11/04/ 16:41:32::633,36225,195,-85,-1323,45,761,-1227,-40,-20,-1407,
2023/11/04/ 16:41:32::649,36236,200,-135,-1313,68,768,-1220,-70,-25,-1415,
2023/11/04/ 16:41:32::653,36247,185,-172,-1277,66,778,-1248,-17,-17,-1396,
2023/11/04/ 16:41:32::673,36258,180,-202,-1326,37,800,-1230,-27,10,-1398,
2023/11/04/ 16:41:32::683,36269,162,-235,-1298,35,862,-1208,17,-40,-1383,
2023/11/04/ 16:41:32::693,36280,131,-247,-1270,0,867,-1175,105,-77,-1388,
2023/11/04/ 16:41:32::703,36291,126,-292,-1258,-18,865,-1132,85,-35,-1325,
2023/11/04/ 16:41:32::713,36302,126,-327,-1248,-90,920,-1116,143,-15,-1362,
2023/11/04/ 16:41:32::724,36313,123,-362,-1236,-92,902,-1116,143,-15,-1362,
2023/11/04/ 16:41:32::733,36324,98,-362,-1197,-126,973,-1047,220,25,-1258,
2023/11/04/ 16:41:32::743,36335,111,-390,-1225,-150,1003,-1021,230,-7,-1155,
2023/11/04/ 16:41:32::761,36346,93,-450,-1145,-165,1043,-936,282,15,-1157,
2023/11/04/ 16:41:32::763,36357,58,-502,-1128,-183,1066,-946,287,-22,-1126,
2023/11/04/ 16:41:32::783,36368,51,-527,-1090,-173,1091,-881,358,27,-1101,
2023/11/04/ 16:41:32::795,36379,13,-577,-1095,-207,1142,-838,426,7,-1035,
2023/11/04/ 16:41:32::803,36390,18,-602,-1046,-243,1200,-775,435,42,-1013,
2023/11/04/ 16:41:32::818,36401,-48,-635,-1022,-236,1202,-753,450,22,-973,
2023/11/04/ 16:41:32::823,36412,-81,-687,-916,-255,1281,-647,480,0,-937,
2023/11/04/ 16:41:32::834,36423,-93,-662,-913,-267,1291,-573,502,-17,-860,
2023/11/04/ 16:41:32::843,36434,-78,-680,-843,-226,1331,-523,532,-62,-801,
2023/11/04/ 16:41:32::853,36445,-78,-680,-843,-236,1336,-521,571,-57,-730,
2023/11/04/ 16:41:32::866,36456,-123,-712,-711,-226,1361,-412,576,-52,-666,
2023/11/04/ 16:41:32::873,36467,-136,-780,-648,-275,1388,-372,596,-20,-612,
2023/11/04/ 16:41:32::893,36478,-123,-757,-658,-286,1396,-256,628,-32,-576,
2023/11/04/ 16:41:32::905,36489,-172,-817,-596,-277,1421,-218,650,-47,-503,
2023/11/04/ 16:41:32::913,36500,-162,-797,-518,-322,1442,-173,650,-67,-411,
2023/11/04/ 16:41:32::926,36511,-141,-840,-430,-322,1442,-173,647,-45,-355,
2023/11/04/ 16:41:32::933,36522,-195,-777,-436,-322,1442,-173,677,-85,-347,
2023/11/04/ 16:41:32::944,36533,-202,-797,-337,-265,1512,102,675,-87,-260,
2023/11/04/ 16:41:32::959,36544,-235,-785,-263,-277,1517,166,675,-87,-260,
2023/11/04/ 16:41:32::968,36555,-232,-775,-147,-275,1525,221,700,-123,-130,
2023/11/04/ 16:41:32::976,36566,-315,-755,-82,-207,1547,282,682,-186,-42,
2023/11/04/ 16:41:32::992,36577,-317,-710,-12,-171,1557,341,695,-222,36,
2023/11/04/ 16:41:33::003,36588,-348,-675,2,-155,1535,427,657,-250,66,
2023/11/04/ 16:41:33::013,36599,-346,-670,77,-138,1542,488,667,-267,132,
2023/11/04/ 16:41:33::023,36610,-366,-650,166,-110,1570,555,636,-338,185,
2023/11/04/ 16:41:33::035,36621,-358,-610,212,-110,1570,555,606,-363,238,
2023/11/04/ 16:41:33::043,36632,-401,-562,316,16,1591,820,551,-368,286,
2023/11/04/ 16:41:33::056,36643,-423,-517,362,87,1542,838,553,-386,342,
2023/11/04/ 16:41:33::071,36654,-468,-480,422,183,1507,920,495,-492,395,
2023/11/04/ 16:41:33::073,36665,-512,-340,568,262,1537,962,495,-492,395,
2023/11/04/ 16:41:33::089,36676,-487,-277,656,283,1447,952,348,-616,510,
2023/11/04/ 16:41:33::093,36687,-510,-195,706,303,1418,976,270,-631,525,
2023/11/04/ 16:41:33::113,36698,-453,-137,796,382,1378,1023,252,-670,581,
2023/11/04/ 16:41:33::128,36709,-468,-70,820,408,1351,1057,193,-712,583,
2023/11/04/ 16:41:33::133,36720,-453,-30,882,430,1296,1071,128,-712,633,
2023/11/04/ 16:41:33::144,36731,-466,0,877,550,1283,1137,77,-727,623,
2023/11/04/ 16:41:33::153,36742,-443,50,885,618,1245,1150,30,-758,640,
2023/11/04/ 16:41:33::163,36753,-477,105,898,626,1182,1123,-27,-758,673,
2023/11/04/ 16:41:33::176,36764,-453,267,918,722,1177,1145,-90,-793,668,
2023/11/04/ 16:41:33::187,36775,-408,330,993,683,1115,1158,-133,-831,661,
2023/11/04/ 16:41:33::196,36786,-401,400,1020,715,1086,1147,-247,-838,650,
2023/11/04/ 16:41:33::212,36797,-413,425,1061,765,1031,1113,-317,-846,607,
2023/11/04/ 16:41:33::223,36808,-368,517,1056,783,973,1113,-363,-851,597,
2023/11/04/ 16:41:33::233,36819,-361,557,1036,861,917,1066,-470,-858,623,
2023/11/04/ 16:41:33::243,36830,-305,642,1010,890,875,1007,-517,-905,628,
2023/11/04/ 16:41:33::259,36841,-312,682,1020,951,797,915,-608,-900,522,
2023/11/04/ 16:41:33::263,36852,-285,760,1031,975,736,891,-603,-892,546,
2023/11/04/ 16:41:33::276,36863,-265,750,981,1003,678,853,-700,-890,510,
2023/11/04/ 16:41:33::287,36874,-265,750,981,1021,632,796,-717,-877,435,
2023/11/04/ 16:41:33::293,36885,-187,905,940,1083,570,758,-735,-877,395,
2023/11/04/ 16:41:33::313,36896,-136,922,875,1073,495,682,-836,-861,328,
2023/11/04/ 16:41:33::314,36907,-141,1007,861,1107,477,656,-882,-828,283,
2023/11/04/ 16:41:33::333,36918,-101,1000,836,1133,428,576,-962,-823,262,
2023/11/04/ 16:41:33::343,36929,-41,1057,781,1090,383,552,-1006,-806,281,
2023/11/04/ 16:41:33::353,36940,-26,1070,737,1107,300,457,-1028,-788,217,
2023/11/04/ 16:41:33::366,36951,-8,1090,732,1073,207,348,-1068,-732,137,
2023/11/04/ 16:41:33::373,36962,68,1100,651,1097,162,277,-1120,-725,118,
2023/11/04/ 16:41:33::388,36973,68,1100,651,1102,162,235,-1135,-685,17,
2023/11/04/ 16:41:33::398,36984,182,1197,513,1092,71,145,-1180,-655,-26,
2023/11/04/ 16:41:33::403,36995,190,1160,436,1085,66,57,-1180,-593,-63,
2023/11/04/ 16:41:33::414,37006,260,1170,391,1083,-11,-28,-1180,-593,-63,
2023/11/04/ 16:41:33::430,37017,302,1185,340,1052,-13,-62,-1180,-593,-63,
2023/11/04/ 16:41:33::443,37028,302,1185,256,1032,-16,-145,-1231,-598,-283,
2023/11/04/ 16:41:33::453,37039,326,1200,241,1057,-23,-208,-1263,-505,-321,
2023/11/04/ 16:41:33::465,37050,317,1152,176,1028,-73,-351,-1256,-578,-390,
2023/11/04/ 16:41:33::475,37061,348,1172,106,1006,-36,-396,-1253,-497,-458,
2023/11/04/ 16:41:33::483,37072,361,1135,33,973,-71,-497,-1223,-465,-562,
2023/11/04/ 16:41:33::493,37083,443,1167,-196,953,-93,-557,-1213,-432,-640,
2023/11/04/ 16:41:33::511,37094,421,1127,-287,913,-96,-637,-1208,-391,-701,
2023/11/04/ 16:41:33::513,37105,441,1120,-355,882,-76,-716,-1185,-396,-796,
2023/11/04/ 16:41:33::528,37116,461,1057,-430,867,-83,-748,-1140,-338,-825,
2023/11/04/ 16:41:33::533,37127,443,1007,-498,838,-53,-822,-1130,-333,-940,
2023/11/04/ 16:41:33::553,37138,490,950,-521,822,-51,-865,-1117,-277,-973,
2023/11/04/ 16:41:33::569,37149,458,940,-552,803,-13,-888,-1102,-285,-1027,
2023/11/04/ 16:41:33::573,37160,468,960,-600,767,-26,-973,-1087,-310,-1030,
2023/11/04/ 16:41:33::585,37171,485,907,-633,755,-28,-988,-1085,-270,-1058,
2023/11/04/ 16:41:33::593,37182,463,930,-653,731,-33,-1007,-1080,-275,-1067,
2023/11/04/ 16:41:33::603,37193,487,917,-732,733,-16,-983,-1076,-290,-1056,
2023/11/04/ 16:41:33::616,37204,492,862,-740,736,-3,-1021,-1063,-240,-1098,
2023/11/04/ 16:41:33::623,37215,515,857,-768,676,-53,-1057,-1046,-213,-1080,
2023/11/04/ 16:41:33::636,37226,512,842,-807,662,-21,-1085,-1021,-217,-1133,
2023/11/04/ 16:41:33::652,37237,490,847,-781,647,-36,-1063,-1028,-153,-1183,
2023/11/04/ 16:41:33::663,37248,532,777,-807,636,0,-1092,-1021,-141,-1240,
2023/11/04/ 16:41:33::674,37259,535,777,-887,636,0,-1092,-986,-131,-1226,
2023/11/04/ 16:41:33::683,37270,535,772,-848,636,0,-1092,-976,-108,-1207,
2023/11/04/ 16:41:33::693,37281,552,747,-875,607,-26,-1158,-993,-72,-1190,
2023/11/04/ 16:41:33::706,37292,512,767,-911,612,6,-1171,-942,-111,-1213,
2023/11/04/ 16:41:33::713,37303,527,755,-882,595,8,-1132,-962,-123,-1223,
2023/11/04/ 16:41:33::723,37314,527,745,-918,597,1,-1156,-986,-111,-1218,
2023/11/04/ 16:41:33::739,37325,525,747,-877,600,13,-1142,-976,-146,-1202,
2023/11/04/ 16:41:33::743,37336,520,757,-890,626,43,-1150,-952,-113,-1218,
2023/11/04/ 16:41:33::760,37347,487,762,-846,681,33,-1121,-952,-113,-1218,
2023/11/04/ 16:41:33::773,37358,480,767,-843,668,41,-1121,-1008,-176,-1197,
2023/11/04/ 16:41:33::785,37369,490,772,-822,668,41,-1121,-967,-235,-1195,
2023/11/04/ 16:41:33::793,37380,451,802,-810,695,28,-1100,-1018,-225,-1162,
2023/11/04/ 16:41:33::804,37391,453,772,-812,662,8,-1095,-1001,-255,-1173,
2023/11/04/ 16:41:33::813,37402,441,845,-796,691,33,-1073,-983,-272,-1150,
2023/11/04/ 16:41:33::823,37413,431,842,-768,723,51,-1085,-981,-270,-1150,
2023/11/04/ 16:41:33::839,37424,383,830,-766,722,76,-1036,-1006,-310,-1152,
2023/11/04/ 16:41:33::843,37435,371,842,-802,738,88,-1078,-965,-358,-1120,
2023/11/04/ 16:41:33::855,37446,326,865,-783,772,116,-1071,-965,-386,-1168,
2023/11/04/ 16:41:33::875,37457,310,872,-812,762,167,-1040,-920,-423,-1133,
2023/11/04/ 16:41:33::883,37468,247,857,-796,815,207,-1012,-920,-423,-1133,
2023/11/04/ 16:41:33::894,37479,192,792,-802,841,310,-976,-838,-551,-1141,
2023/11/04/ 16:41:33::903,37490,146,795,-805,856,373,-991,-853,-571,-1160,
2023/11/04/ 16:41:33::916,37501,108,770,-822,867,426,-995,-798,-606,-1190,
2023/11/04/ 16:41:33::925,37512,48,740,-807,815,448,-1000,-745,-628,-1165,
2023/11/04/ 16:41:33::933,37523,0,705,-820,835,515,-955,-695,-667,-1211,
2023/11/04/ 16:41:33::944,37534,-36,700,-822,838,532,-986,-692,-667,-1192,
2023/11/04/ 16:41:33::960,37545,-46,677,-856,851,622,-967,-633,-705,-1171,
2023/11/04/ 16:41:33::963,37556,-101,615,-887,803,681,-957,-623,-730,-1221,
2023/11/04/ 16:41:33::978,37567,-123,577,-841,788,703,-960,-556,-758,-1173,
2023/11/04/ 16:41:33::993,37578,-175,557,-851,817,736,-886,-500,-752,-1207,
2023/11/04/ 16:41:34::003,37589,-170,525,-822,760,817,-891,-381,-766,-1173,
2023/11/04/ 16:41:34::013,37600,-227,522,-853,783,857,-830,-386,-758,-1192,
2023/11/04/ 16:41:34::023,37611,-265,452,-872,762,947,-843,-331,-761,-1176,
2023/11/04/ 16:41:34::033,37622,-280,397,-870,728,942,-841,-272,-763,-1173,
2023/11/04/ 16:41:34::044,37633,-307,380,-853,720,988,-775,-242,-798,-1155,
2023/11/04/ 16:41:34::053,37644,-368,310,-880,715,1033,-838,-237,-773,-1138,
2023/11/04/ 16:41:34::065,37655,-351,277,-880,681,1063,-777,-176,-788,-1136,
2023/11/04/ 16:41:34::081,37666,-378,252,-848,665,1101,-727,-102,-761,-1143,
2023/11/04/ 16:41:34::088,37677,-391,187,-836,612,1122,-725,-50,-763,-1098,
2023/11/04/ 16:41:34::103,37688,-401,122,-833,612,1122,-725,17,-722,-1053,
2023/11/04/ 16:41:34::115,37699,-413,80,-802,503,1303,-595,72,-750,-1016,
2023/11/04/ 16:41:34::123,37710,-413,80,-802,480,1301,-571,90,-697,-980,
2023/11/04/ 16:41:34::133,37721,-413,80,-802,456,1338,-562,183,-655,-950,
2023/11/04/ 16:41:34::147,37732,-463,-82,-760,437,1303,-542,230,-680,-916,
2023/11/04/ 16:41:34::153,37743,-471,-137,-737,346,1336,-505,272,-675,-907,
2023/11/04/ 16:41:34::163,37754,-476,-215,-698,336,1391,-491,305,-633,-841,
2023/11/04/ 16:41:34::179,37765,-463,-247,-706,286,1430,-443,346,-586,-825,
2023/11/04/ 16:41:34::188,37776,-461,-327,-692,231,1455,-417,388,-541,-796,
2023/11/04/ 16:41:34::198,37787,-438,-382,-675,176,1460,-391,477,-507,-761,
2023/11/04/ 16:41:34::215,37798,-416,-480,-682,23,1485,-401,500,-413,-746,
2023/11/04/ 16:41:34::223,37809,-363,-515,-692,-32,1447,-343,500,-413,-746,
2023/11/04/ 16:41:34::235,37820,-363,-515,-692,-165,1447,-320,500,-413,-746,
2023/11/04/ 16:41:34::243,37831,-182,-662,-701,-197,1401,-338,633,-75,-586,
2023/11/04/ 16:41:34::255,37842,-131,-765,-692,-320,1398,-313,616,2,-555,
2023/11/04/ 16:41:34::263,37853,-23,-777,-685,-385,1323,-296,613,128,-506,
2023/11/04/ 16:41:34::273,37864,61,-855,-687,-518,1255,-332,623,265,-510,
2023/11/04/ 16:41:34::289,37875,148,-902,-687,-578,1200,-335,613,368,-510,
2023/11/04/ 16:41:34::294,37886,225,-910,-682,-581,1135,-341,593,440,-488,
2023/11/04/ 16:41:34::303,37897,363,-895,-672,-657,1021,-348,568,558,-482,
2023/11/04/ 16:41:34::323,37908,446,-905,-680,-770,857,-441,497,598,-480,
2023/11/04/ 16:41:34::333,37919,560,-860,-690,-760,763,-457,457,712,-446,
2023/11/04/ 16:41:34::345,37930,676,-867,-701,-796,736,-512,315,851,-440,
2023/11/04/ 16:41:34::353,37941,743,-852,-698,-846,630,-481,267,843,-477,
2023/11/04/ 16:41:34::363,37952,773,-822,-687,-781,530,-526,208,887,-477,
2023/11/04/ 16:41:34::380,37963,855,-742,-740,-788,473,-536,153,892,-467,
2023/11/04/ 16:41:34::389,37974,887,-735,-692,-812,421,-583,118,935,-498,
2023/11/04/ 16:41:34::397,37985,907,-720,-701,-806,411,-607,87,971,-491,
2023/11/04/ 16:41:34::403,37996,993,-657,-718,-783,315,-626,35,1003,-482,
2023/11/04/ 16:41:34::413,38007,1028,-635,-713,-783,315,-626,25,1026,-475,
2023/11/04/ 16:41:34::433,38018,1063,-620,-675,-783,315,-626,-52,1018,-461,
2023/11/04/ 16:41:34::443,38029,1101,-545,-685,-741,113,-642,-100,1033,-475,
2023/11/04/ 16:41:34::453,38040,1147,-505,-636,-743,86,-652,-100,1033,-475,
2023/11/04/ 16:41:34::463,38051,1175,-477,-667,-688,18,-673,-265,1066,-477,
2023/11/04/ 16:41:34::473,38062,1200,-405,-651,-691,11,-682,-287,1071,-501,
2023/11/04/ 16:41:34::483,38073,1207,-327,-622,-665,-78,-727,-358,1051,-488,
2023/11/04/ 16:41:34::493,38084,1242,-325,-627,-631,-111,-703,-366,1051,-493,
2023/11/04/ 16:41:34::510,38095,1240,-245,-586,-585,-162,-701,-452,1053,-488,
2023/11/04/ 16:41:34::513,38106,1276,-232,-588,-566,-185,-697,-482,1041,-496,
2023/11/04/ 16:41:34::526,38117,1267,-185,-578,-566,-185,-697,-573,1053,-498,
2023/11/04/ 16:41:34::543,38128,1293,-117,-617,-490,-290,-770,-601,1018,-496,
2023/11/04/ 16:41:34::553,38139,1326,-17,-557,-482,-300,-751,-677,988,-496,
2023/11/04/ 16:41:34::569,38150,1333,52,-542,-416,-376,-798,-690,988,-543,
2023/11/04/ 16:41:34::573,38161,1341,107,-542,-388,-426,-772,-788,967,-557,
2023/11/04/ 16:41:34::585,38172,1318,170,-555,-317,-398,-811,-826,907,-565,
2023/11/04/ 16:41:34::593,38183,1333,175,-521,-228,-408,-820,-861,861,-586,
2023/11/04/ 16:41:34::603,38194,1316,262,-566,-257,-421,-877,-877,811,-567,
2023/11/04/ 16:41:34::617,38205,1276,290,-568,-195,-423,-860,-940,763,-633,
2023/11/04/ 16:41:34::623,38216,1242,367,-552,-118,-413,-856,-962,752,-695,
2023/11/04/ 16:41:34::637,38227,1232,420,-583,11,-480,-881,-1003,662,-713,
2023/11/04/ 16:41:34::653,38238,1232,420,-583,63,-446,-946,-1048,626,-735,
2023/11/04/ 16:41:34::663,38249,1120,532,-680,78,-441,-950,-1063,553,-841,
2023/11/04/ 16:41:34::674,38260,1093,572,-675,138,-413,-971,-1066,505,-855,
2023/11/04/ 16:41:34::683,38271,1041,605,-680,238,-381,-1010,-1066,505,-855,
2023/11/04/ 16:41:34::693,38282,986,722,-677,301,-326,-1005,-1085,312,-928,
2023/11/04/ 16:41:34::708,38293,937,702,-695,346,-300,-1007,-1150,272,-963,
2023/11/04/ 16:41:34::713,38304,932,782,-675,413,-317,-1055,-1102,161,-1003,
2023/11/04/ 16:41:34::724,38315,852,780,-706,482,-295,-1050,-1145,105,-1037,
2023/11/04/ 16:41:34::740,38326,766,797,-695,537,-250,-1042,-1137,32,-1020,
2023/11/04/ 16:41:34::743,38337,746,827,-711,578,-175,-1040,-1142,-5,-1016,
2023/11/04/ 16:41:34::763,38348,671,910,-672,623,-177,-1021,-1120,-77,-1030,
2023/11/04/ 16:41:34::773,38359,651,937,-670,678,-148,-1021,-1155,-102,-1037,
2023/11/04/ 16:41:34::784,38370,555,925,-646,695,-121,-983,-1147,-181,-1043,
2023/11/04/ 16:41:34::793,38381,542,947,-648,762,-108,-926,-1145,-203,-1001,
2023/11/04/ 16:41:34::803,38392,500,982,-620,786,-33,-973,-1102,-351,-1041,
2023/11/04/ 16:41:34::820,38403,458,965,-617,815,-43,-936,-1076,-366,-990,
2023/11/04/ 16:41:34::823,38414,418,972,-615,835,-11,-920,-1082,-408,-971,
2023/11/04/ 16:41:34::837,38425,371,1017,-586,858,36,-896,-1073,-411,-987,
2023/11/04/ 16:41:34::843,38436,358,985,-588,858,36,-896,-1068,-445,-947,
2023/11/04/ 16:41:34::853,38447,358,985,-588,937,81,-787,-1082,-465,-987,
2023/11/04/ 16:41:34::875,38458,242,1002,-513,948,101,-775,-1053,-515,-942,
2023/11/04/ 16:41:34::883,38469,195,1022,-495,958,180,-751,-1066,-551,-973,
2023/11/04/ 16:41:34::893,38480,172,1025,-485,985,202,-735,-1038,-628,-926,
2023/11/04/ 16:41:34::903,38491,106,1012,-470,1026,242,-716,-1011,-628,-947,
2023/11/04/ 16:41:34::913,38502,53,990,-430,1037,280,-658,-1001,-700,-900,
2023/11/04/ 16:41:34::923,38513,31,992,-417,1061,341,-708,-965,-761,-878,
2023/11/04/ 16:41:34::944,38524,1,975,-415,1058,366,-656,-910,-798,-878,
2023/11/04/ 16:41:34::945,38535,-13,955,-417,1105,403,-647,-823,-838,-881,
2023/11/04/ 16:41:34::960,38546,-71,987,-383,1066,485,-573,-816,-856,-841,
2023/11/04/ 16:41:34::963,38557,-151,932,-355,1081,582,-536,-761,-895,-828,
2023/11/04/ 16:41:34::983,38568,-215,887,-328,1087,602,-500,-735,-915,-798,
