RX Date/Time,Time(field 1),x(field 2),y(field 3),z(field 4),x(field 5),y(field 6),z(field 7),Bx(field 8),By(field 9),Bz(field 10)
2023/11/04/ 16:41:04::994,8582,38,950,-480,1058,305,-716,-947,-747,-888,
2023/11/04/ 16:41:05::008,8593,-11,952,-463,1058,305,-716,-942,-771,-918,
2023/11/04/ 16:41:05::014,8604,-81,945,-470,1066,476,-656,-887,-808,-916,
2023/11/04/ 16:41:05::025,8615,-61,907,-472,1057,487,-680,-828,-826,-923,
2023/11/04/ 16:41:05::041,8626,-136,890,-482,1018,580,-623,-788,-900,-910,
2023/11/04/ 16:41:05::044,8637,-136,890,-482,1028,617,-628,-758,-887,-871,
2023/11/04/ 16:41:05::062,8648,-222,825,-420,1066,678,-611,-705,-930,-855,
2023/11/04/ 16:41:05::074,8659,-232,782,-402,1030,663,-566,-643,-945,-876,
2023/11/04/ 16:41:05::084,8670,-285,772,-415,1001,726,-521,-638,-910,-857,
2023/11/04/ 16:41:05::094,8681,-300,745,-388,1021,805,-465,-606,-967,-831,
2023/11/04/ 16:41:05::104,8692,-341,715,-420,1018,845,-481,-571,-998,-828,
2023/11/04/ 16:41:05::116,8703,-408,655,-381,1003,890,-388,-530,-981,-782,
2023/11/04/ 16:41:05::124,8714,-431,607,-360,946,935,-388,-465,-1016,-777,
2023/11/04/ 16:41:05::133,8725,-431,620,-345,973,983,-380,-435,-1026,-753,
2023/11/04/ 16:41:05::148,8736,-476,547,-357,958,1013,-298,-363,-1028,-706,
2023/11/04/ 16:41:05::153,8747,-502,530,-306,963,1058,-266,-353,-1046,-703,
2023/11/04/ 16:41:05::174,8758,-525,502,-282,922,1093,-256,-292,-1003,-652,
2023/11/04/ 16:41:05::184,8769,-560,500,-251,913,1063,-206,-272,-1006,-576,
2023/11/04/ 16:41:05::193,8780,-555,452,-238,916,1125,-176,-235,-1028,-610,
2023/11/04/ 16:41:05::205,8791,-557,420,-202,887,1195,-121,-186,-1043,-560,
2023/11/04/ 16:41:05::214,8802,-625,380,-166,880,1207,-41,-161,-1018,-488,
2023/11/04/ 16:41:05::224,8813,-605,380,-128,838,1328,41,-163,-1051,-440,
2023/11/04/ 16:41:05::236,8824,-676,360,-97,815,1311,95,-113,-1038,-408,
2023/11/04/ 16:41:05::244,8835,-676,320,-53,815,1343,142,-136,-1043,-352,
2023/11/04/ 16:41:05::258,8846,-636,312,0,793,1306,158,-62,-1043,-251,
2023/11/04/ 16:41:05::264,8857,-686,267,90,807,1323,251,0,-1023,-236,
2023/11/04/ 16:41:05::279,8868,-641,225,121,781,1336,275,-17,-1033,-182,
2023/11/04/ 16:41:05::294,8879,-653,237,191,781,1356,293,12,-1028,-172,
